Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Sponge cake ,253.77,44.63,9.18,4.74,26.33,0.69,64.61,30.22,1.47,,,182.09,1 slice,80,203.0,7.3
Glace icing,323.51,86.31,0.01,0.01,85.35,0.0,9.88,1.95,0.41,,,0.0,100g portion,100,323.5,0.0
Royal icing,332.58,86.53,1.74,0.02,85.57,0.0,36.5,2.87,0.42,,,0.0,100g portion,100,332.6,1.7
American frosting,257.57,67.48,1.05,0.01,67.46,0.0,19.33,7.05,0.14,,,0.0,100g portion,100,257.6,1.0
Gum icing,223.07,53.19,5.94,0.0,52.63,0.0,29.32,18.62,0.4,,,0.0,100g portion,100,223.1,5.9
Channa murmura premix,339.09,72.59,10.59,3.28,1.52,8.21,206.28,21.36,4.58,,,0.0,100g portion,100,339.1,10.6
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,0.63,11.66,3.25,49.03,4.28,,,0.0,1 katori (bowl),150,543.2,23.8
Rice flakes and roasted channa ,333.4,71.94,10.57,2.94,1.31,8.84,205.51,17.23,4.51,,,0.0,1 medium bowl,175,583.4,18.5
Spinach soup in milk ,56.72,3.98,2.89,3.2,3.34,0.79,31.16,106.1,1.08,,,0.0,1 glass,250,141.8,7.2
Vegetable soup,55.21,7.6,2.22,1.55,1.61,3.01,170.68,18.1,0.63,,,3.34,100g portion,100,55.2,2.2
Mashed banana with milk,95.43,14.62,2.51,2.99,11.35,0.71,16.99,78.64,0.23,,,0.0,1 glass,250,238.6,6.3
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,5.46,1.09,325.07,140.9,1.61,,,13.37,1 plate,150,260.0,9.0
Potato with curd,73.18,12.01,3.19,1.33,3.3,1.02,190.9,85.41,0.38,,,4.38,100g portion,100,73.2,3.2
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,12.23,2.37,24.63,99.18,1.98,,,0.0,1 katori (bowl),150,211.0,7.7
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,3.71,2.45,193.55,100.54,1.09,,,11.92,1 medium bowl,250,357.9,14.0
Moong dal mixture,158.84,33.93,4.62,1.0,24.68,1.9,29.6,70.53,1.25,,,2.38,1 katori (bowl),150,238.3,6.9
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.79,3.74,224.95,123.04,2.17,,,14.62,1 katori (bowl),150,251.2,11.3
Stewed apple,91.93,22.49,0.17,0.37,20.45,1.48,1.53,9.25,0.18,,,0.0,100g portion,100,91.9,0.2
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06,48.88,0.0,15.01,9.85,0.18,,,0.0,100g portion,100,184.6,0.2
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04,50.56,0.4,14.85,10.62,0.34,,,0.0,100g portion,100,193.3,0.2
Lichi squash,198.33,51.96,0.3,0.08,51.31,0.41,14.56,6.39,0.34,,,0.0,100g portion,100,198.3,0.3
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17,50.84,0.58,14.81,9.47,0.25,,,0.0,100g portion,100,194.7,0.2
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05,51.08,1.06,14.84,7.96,0.18,,,0.0,100g portion,100,195.0,0.2
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,42.53,1.07,16.19,11.18,0.52,,,0.0,100g portion,100,170.3,0.5
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32,46.76,1.29,2.71,10.84,0.21,,,0.0,100g portion,100,188.8,0.1
Plum jam (Aloo bukhara jam),178.89,46.2,0.31,0.19,45.25,1.0,2.67,7.5,0.2,,,0.0,100g portion,100,178.9,0.3
Pineapple jam ,149.18,38.27,0.32,0.15,37.44,2.2,2.45,10.47,0.24,,,0.0,100g portion,100,149.2,0.3
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,27.38,6.61,3.36,16.55,0.29,,,0.0,100g portion,100,115.7,1.1
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,25.09,1.97,2.31,17.59,0.63,,,0.0,100g portion,100,104.2,0.7
Carrot murabba (Gajar ka murabba),175.24,45.6,0.32,0.16,44.83,1.39,19.53,15.86,0.28,,,0.0,100g portion,100,175.2,0.3
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,28.61,0.0,216.89,16.4,0.38,,,0.0,100g portion,100,123.2,0.1
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,47.99,1.67,5.4,10.43,0.68,,,0.0,100g portion,100,195.7,0.7
Mango pickle (Aam ka achaar),192.12,8.11,1.6,17.89,1.79,3.68,3429.94,48.97,1.44,,,0.0,100g portion,100,192.1,1.6
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.77,2.76,2488.32,42.81,2.12,,,0.0,100g portion,100,211.2,1.9
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,14.63,2.13,6415.9,42.57,1.02,,,0.0,100g portion,100,69.5,1.2
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,43.9,1.37,216.81,12.38,0.34,,,0.0,100g portion,100,177.1,0.5
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,45.22,2.17,480.68,25.92,0.48,,,0.0,100g portion,100,193.1,0.5
Tomato sauce,34.33,7.23,0.81,0.27,5.69,1.79,174.79,13.0,0.31,,,0.0,100g portion,100,34.3,0.8
Tomato puree,20.62,3.68,0.75,0.25,2.32,1.56,244.99,8.91,0.22,,,0.0,100g portion,100,20.6,0.8
Garam masala,254.21,26.2,9.89,10.97,1.79,35.56,58.33,609.77,14.51,,,0.0,100g portion,100,254.2,9.9
Chat masala,222.58,23.87,8.19,9.91,0.79,18.62,11873.64,519.5,13.27,,,0.0,100g portion,100,222.6,8.2
Kashmiri masala,389.02,23.16,8.26,31.03,2.41,12.12,3106.14,303.49,14.72,,,0.0,100g portion,100,389.0,8.3
Rasam powder (Rasam masala),267.96,25.19,12.04,11.8,1.91,35.71,38.78,562.15,14.72,,,0.0,1 katori (bowl),150,401.9,18.1
Sambar powder (Sambar masala),297.46,23.38,12.5,15.58,1.87,34.56,27.66,439.95,12.63,,,0.0,1 katori (bowl),150,446.2,18.8
Tartare sauce,610.93,2.96,1.44,66.12,2.18,0.42,256.95,21.06,0.56,,,50.47,100g portion,100,610.9,1.4
Barbeque sauce,121.93,20.46,0.96,4.51,18.88,0.69,504.95,28.61,1.15,,,0.0,100g portion,100,121.9,1.0
Bread sauce,111.04,8.69,3.46,7.05,4.63,0.56,88.84,110.72,0.31,,,8.48,100g portion,100,111.0,3.5
Green chilli sauce,46.06,7.36,1.25,0.27,5.36,1.77,1037.04,9.89,0.64,,,0.0,100g portion,100,46.1,1.2
Home made plain noodles,238.78,44.5,6.21,3.56,1.07,1.65,182.07,12.27,1.07,,,0.0,100g portion,100,238.8,6.2
Dal moong,43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,,,3.55,1 katori (bowl),150,65.5,3.3
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,0.49,6.01,177.58,177.77,5.09,,,189.23,100g portion,100,736.8,3.3
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,3.51,2.12,31.33,20.45,0.63,,,29.17,100g portion,100,137.5,1.3
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.3,1.14,9.74,8.9,182.93,4.14,,,130.57,100g portion,100,552.6,4.7
Hot cherry sauce,252.74,67.95,0.13,0.07,17.65,0.0,105.81,24.82,0.45,,,0.0,100g portion,100,252.7,0.1
Apple jelly (Seb ki jelly),152.13,39.37,0.1,0.21,38.18,0.86,2.14,7.89,0.15,,,0.0,100g portion,100,152.1,0.1
Marmalade (Murabba),143.76,37.64,0.23,0.04,37.29,0.43,2.16,9.84,0.34,,,0.0,100g portion,100,143.8,0.2
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.1,55.02,0.52,12.71,6.9,0.16,,,0.0,100g portion,100,211.2,0.2
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1.0,1.07,7559.38,20.05,0.55,,,0.0,100g portion,100,14.1,0.8
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,1.07,4.62,3507.59,37.28,2.16,,,0.0,100g portion,100,139.0,2.2
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,4.31,2.2,1281.94,15.18,0.54,,,0.0,100g portion,100,60.9,1.3
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,3.04,5.08,2067.33,54.31,2.32,,,0.0,100g portion,100,91.2,2.0
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,30.02,1.49,823.65,25.34,0.96,,,0.0,100g portion,100,176.1,1.0
Tomato ketchup,33.07,6.48,0.91,0.3,4.68,1.9,177.97,15.33,0.36,,,0.0,100g portion,100,33.1,0.9
Bengal 5 Spice Blend (Panch Phoran),289.79,20.0,18.26,22.16,1.4,18.4,51.43,523.0,13.37,,,0.0,100g portion,100,289.8,18.3
Butternaan,300.0,50.0,7.0,10.0,2.0,2.0,,50.0,,,,15.0,1 piece,80,240.0,5.6
Cupcake,200.0,30.0,2.0,8.0,20.0,0.5,,20.0,,,,20.0,1 slice,80,160.0,1.6
Donuts,250.0,30.0,3.0,12.0,10.0,1.0,,20.0,,,,20.0,100g portion,100,250.0,3.0
French Fries,312.0,41.0,3.4,15.0,0.3,3.8,,20.0,,,,0.0,100g portion,100,312.0,3.4
Garlic Bread,200.0,25.0,4.0,10.0,1.0,1.0,,30.0,,,,10.0,100g portion,100,200.0,4.0
Grilled Cheese Sandwich,400.0,30.0,12.0,25.0,2.0,2.0,,200.0,,,,50.0,1 piece,120,480.0,14.4
Hot Dog,290.0,24.0,10.0,18.0,4.0,1.0,,20.0,,,,30.0,100g portion,100,290.0,10.0
Ice Cream,207.0,24.0,3.5,11.0,21.0,0.5,,100.0,,,,44.0,1 scoop,100,207.0,3.5
Lobster Roll Sandwich,450.0,30.0,20.0,25.0,3.0,2.0,,60.0,,,,80.0,1 piece,120,540.0,24.0
Onion Rings,275.0,31.0,3.0,15.0,5.0,2.0,,30.0,,,,0.0,100g portion,100,275.0,3.0
Red Velvet Cake,293.0,37.45,5.45,13.74,13.89,1.2,,85.0,,,,43.0,1 slice,80,234.4,4.4
Strawberry Shortcake,250.0,35.0,3.0,12.0,15.0,1.0,,50.0,,,,30.0,1 slice,80,200.0,2.4
Vada Pav,304.0,40.17,9.17,11.92,9.42,3.8,,71.0,,,,0.0,1 piece,45,136.8,4.1
Waffles,220.0,20.0,13.0,11.0,5.0,3.0,,100.0,,,,30.0,100g portion,100,220.0,13.0
Mango milkshake with ice cream (Aam milkshake ice cream�ke�saath),68.35,9.18,1.93,2.8,9.11,0.23,,69.36,,,,1.3,1 glass,250,170.9,4.8
Pineapple milkshake with ice cream (Ananas milkshake ice cream�ke�saath),68.49,9.33,1.93,2.75,9.2,0.42,,68.78,,,,1.3,1 glass,250,171.2,4.8
Orange milkshake with ice cream (Narangi milkshake ice cream�ke�saath),67.82,9.15,1.95,2.75,9.0,0.16,,69.8,,,,1.3,1 glass,250,169.5,4.9
