Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Milk cookies,459.43,48.43,10.49,24.96,22.06,0.99,156.53,251.59,0.75,2.03,19.54,67.93,1 glass,250,1148.6,26.2
Cranberry cookies,272.48,36.39,3.92,12.66,19.96,1.13,58.25,36.16,0.71,5.52,17.21,58.22,100g portion,100,272.5,3.9
Olive biscuit,438.29,55.01,3.2,23.75,32.27,0.82,120.1,10.76,1.37,0.0,2.28,48.63,100g portion,100,438.3,3.2
Tutti fruitti biscuit,420.78,53.12,5.21,17.9,15.75,5.43,93.11,23.81,1.96,0.0,15.19,44.48,100g portion,100,420.8,5.2
Peach blueberry preserves,177.38,45.76,0.53,0.2,45.33,1.14,2.81,9.03,0.33,16.56,16.68,0.0,100g portion,100,177.4,0.5
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,25.19,3.06,2.1,6.57,0.23,15.65,21.93,0.0,100g portion,100,101.2,0.2
Starfruit preserves ,128.93,33.62,0.24,0.12,33.47,0.78,2.06,5.24,0.2,17.65,4.32,0.0,100g portion,100,128.9,0.2
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,0.36,3.7,86.38,31.17,1.04,4.85,2.09,0.0,100g portion,100,278.6,1.6
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.6,2.53,8.58,181.83,137.73,20.57,12.35,1.91,0.0,100g portion,100,102.7,1.4
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,30.47,5.2,138.86,41.49,1.96,3.46,15.77,0.0,100g portion,100,182.3,1.7
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88,2.32,5.13,269.12,54.66,1.82,7.33,15.98,0.0,100g portion,100,413.6,3.7
